fid,prefecture,region,population_rgph5_2022,superficie_km2,densite_hab_km2,agences_telecom,agences_moov,agences_togocom,boutiques_canalplus,datacenters,momo_total,momo_mixte,momo_togocom,momo_moov,momo_nsp,momo_pour_10k_hab,agences_pour_100k_hab,hab_par_agence,hab_par_point_momo,momo_attendu,momo_ecart,momo_ratio_obs_att,agences_attendu,agences_ecart,agences_ratio_obs_att
prefectures.A01,Agoè-Nyivé,Maritime,882695,193.3,4566.5,14,2,12,2,0,1398,851,505,3,39,15.84,1.59,63050.0,631.0,2157.6,-759.6,0.648,9.8,4.2,1.427
prefectures.A02,Avé,Maritime,111214,1020.5,109.0,3,1,2,0,0,128,76,6,17,29,11.51,2.7,37071.0,869.0,271.8,-143.8,0.471,1.2,1.8,2.426
prefectures.A03,Bas-Mono,Maritime,94860,413.9,229.2,2,0,2,0,0,183,129,9,45,0,19.29,2.11,47430.0,518.0,231.9,-48.9,0.789,1.1,0.9,1.896
prefectures.A04,Golfe,Maritime,1305681,221.3,5900.0,26,12,14,5,3,5121,3791,825,148,357,39.22,1.99,50218.0,255.0,3191.5,1929.5,1.605,14.5,11.5,1.791
prefectures.A05,Lacs,Maritime,241247,385.0,626.6,0,0,0,0,0,741,581,43,61,56,30.72,0.0,,326.0,589.7,151.3,1.257,2.7,-2.7,0.0
prefectures.A06,Vo,Maritime,224411,746.3,300.7,0,0,0,0,0,476,329,4,125,18,21.21,0.0,,471.0,548.5,-72.5,0.868,2.5,-2.5,0.0
prefectures.A07,Yoto,Maritime,174851,1261.8,138.6,1,0,1,0,0,160,68,34,58,0,9.15,0.57,174851.0,1093.0,427.4,-267.4,0.374,1.9,-0.9,0.514
prefectures.A08,Zio,Maritime,500032,2130.8,234.7,5,2,3,0,0,779,556,67,74,82,15.58,1.0,100006.0,642.0,1222.2,-443.2,0.637,5.6,-0.6,0.899
prefectures.B01,Agou,Plateaux,85793,945.2,90.8,1,0,1,0,0,224,172,26,17,9,26.11,1.17,85793.0,383.0,209.7,14.3,1.068,1.0,0.0,1.048
prefectures.B02,Akébou,Plateaux,73830,1196.5,61.7,0,0,0,0,0,87,50,17,4,16,11.78,0.0,,849.0,180.5,-93.5,0.482,0.8,-0.8,0.0
prefectures.B03,Amou,Plateaux,114172,1674.2,68.2,0,0,0,0,0,175,110,51,14,0,15.33,0.0,,652.0,279.1,-104.1,0.627,1.3,-1.3,0.0
prefectures.B04,Anié,Plateaux,180158,1973.7,91.3,2,1,1,0,0,285,206,60,2,17,15.82,1.11,90079.0,632.0,440.4,-155.4,0.647,2.0,-0.0,0.999
prefectures.B05,Danyi,Plateaux,40240,428.1,94.0,0,0,0,0,0,142,93,19,20,10,35.29,0.0,,283.0,98.4,43.6,1.444,0.4,-0.4,0.0
prefectures.B06,Est-Mono,Plateaux,164460,2525.3,65.1,0,0,0,0,0,209,140,48,10,11,12.71,0.0,,787.0,402.0,-193.0,0.52,1.8,-1.8,0.0
prefectures.B07,Haho,Plateaux,305096,2938.2,103.8,3,1,2,0,0,453,332,29,51,41,14.85,0.98,101699.0,674.0,745.8,-292.8,0.607,3.4,-0.4,0.884
prefectures.B08,Kloto,Plateaux,145986,586.7,248.8,2,1,1,0,0,503,361,83,33,26,34.46,1.37,72993.0,290.0,356.8,146.2,1.41,1.6,0.4,1.232
prefectures.B09,Kpélé,Plateaux,80939,1031.6,78.5,2,1,1,0,0,255,220,26,3,6,31.51,2.47,40470.0,317.0,197.8,57.2,1.289,0.9,1.1,2.223
prefectures.B10,Moyen-Mono,Plateaux,90505,614.3,147.3,1,0,1,0,0,81,59,7,10,5,8.95,1.1,90505.0,1117.0,221.2,-140.2,0.366,1.0,-0.0,0.994
prefectures.B11,Ogou,Plateaux,253467,1841.0,137.7,1,0,1,0,0,421,207,115,65,34,16.61,0.39,253467.0,602.0,619.6,-198.6,0.68,2.8,-1.8,0.355
prefectures.B12,Wawa,Plateaux,101300,1215.6,83.3,0,0,0,0,0,244,155,78,7,4,24.09,0.0,,415.0,247.6,-3.6,0.985,1.1,-1.1,0.0
prefectures.C01,Blitta,Centrale,163272,3190.2,51.2,2,1,1,0,0,90,60,25,4,1,5.51,1.22,81636.0,1814.0,399.1,-309.1,0.226,1.8,0.2,1.102
prefectures.C02,Mô,Centrale,52448,1472.0,35.6,0,0,0,0,0,32,10,16,0,6,6.1,0.0,,1639.0,128.2,-96.2,0.25,0.6,-0.6,0.0
prefectures.C03,Sotouboua,Centrale,138864,3034.1,45.8,3,1,2,0,0,355,205,106,12,32,25.56,2.16,46288.0,391.0,339.4,15.6,1.046,1.5,1.5,1.943
prefectures.C04,Tchamba,Centrale,200585,3162.2,63.4,2,0,2,0,0,205,132,53,1,19,10.22,1.0,100292.0,978.0,490.3,-285.3,0.418,2.2,-0.2,0.897
prefectures.C05,Tchaoudjo,Centrale,240360,2537.2,94.7,4,1,3,0,0,1411,680,677,6,48,58.7,1.66,60090.0,170.0,587.5,823.5,2.402,2.7,1.3,1.497
prefectures.D01,Assoli,Kara,66394,851.9,77.9,1,0,1,0,0,228,89,118,3,18,34.34,1.51,66394.0,291.0,162.3,65.7,1.405,0.7,0.3,1.355
prefectures.D02,Bassar,Kara,152065,3286.5,46.3,3,1,2,0,0,436,144,114,2,176,28.67,1.97,50688.0,349.0,371.7,64.3,1.173,1.7,1.3,1.775
prefectures.D03,Binah,Kara,84199,549.4,153.3,0,0,0,0,0,212,127,75,2,8,25.18,0.0,,397.0,205.8,6.2,1.03,0.9,-0.9,0.0
prefectures.D04,Dankpen,Kara,185662,2614.0,71.0,1,0,1,0,0,190,89,59,8,34,10.23,0.54,185662.0,977.0,453.8,-263.8,0.419,2.1,-1.1,0.484
prefectures.D05,Doufelgou,Kara,84767,1221.6,69.4,1,0,1,0,0,184,104,51,3,26,21.71,1.18,84767.0,461.0,207.2,-23.2,0.888,0.9,0.1,1.061
prefectures.D06,Kéran,Kara,128687,1795.0,71.7,2,0,2,0,0,139,62,42,3,32,10.8,1.55,64344.0,926.0,314.6,-175.6,0.442,1.4,0.6,1.398
prefectures.D07,Kozah,Kara,283738,1077.9,263.2,2,1,1,0,0,1562,872,628,7,55,55.05,0.7,141869.0,182.0,693.5,868.5,2.252,3.2,-1.2,0.634
prefectures.E01,Cinkassé,Savanes,128959,255.8,504.1,2,1,1,0,0,543,255,271,7,10,42.11,1.55,64480.0,237.0,315.2,227.8,1.723,1.4,0.6,1.395
