nom,localite,prefecture,region,lat,lon,categorie,operateur
Agence Togocom Sotouboua,Laowe,Sotouboua,Centrale,8.561571052152336,0.985734376020098,Agence télécom,Togocom
Agence Togocom Assivito,Assivito,Golfe,Maritime,6.130468333333332,1.221865,Agence télécom,Togocom
Boutique Togocom Tchakala,Zongo,Tchaoudjo,Centrale,8.98419873591971,1.1404672575309502,Agence télécom,Togocom
Agence Togocom Sokode,Barriere,Tchaoudjo,Centrale,8.995775168282453,1.1364225484392025,Agence télécom,Togocom
Agence Moov Sotouboua,Sotouboua,Sotouboua,Centrale,8.560676666666666,0.9770733333333333,Agence télécom,Moov
Agence Togocom Franchise Koma,Komah ,Tchaoudjo,Centrale,8.969711814416957,1.149767464182392,Agence télécom,Togocom
Agence Moov Sokode,Kossobio,Tchaoudjo,Centrale,8.989586208250028,1.1388047548912492,Agence télécom,Moov
Agence Togocom Tchamba,Iyiwa,Tchamba,Centrale,9.021938333333333,1.4154333333333333,Agence télécom,Togocom
Franchise Togocom Kaboli,Kaboli,Tchamba,Centrale,8.746319999999999,1.5930066666666667,Agence télécom,Togocom
Agence Togocom Sotouboua,Sotouboua,Sotouboua,Centrale,8.56147247694421,0.9748136443222274,Agence télécom,Togocom
Agence Togocom Blitta,Blitta Village,Blitta,Centrale,8.3431775078664,1.0102778708306066,Agence télécom,Togocom
Agence Moov Blitta Sous L'Antenne ,Blitta Sous L'antenne ,Blitta,Centrale,8.339181715780521,1.0083930421985017,Agence télécom,Moov
Agence Togocom Baguida,Baguida,Golfe,Maritime,6.168715,1.3425133333333332,Agence télécom,Togocom
Moov Store Agoe,Agoe,Agoè-Nyivé,Maritime,6.2217219240318204,1.2093339414432598,Agence télécom,Moov
Moov Store Baguida,Baguida,Golfe,Maritime,6.167401666666666,1.3379933333333334,Agence télécom,Moov
Agence Togocom Agoe,Agoe Leader Price,Agoè-Nyivé,Maritime,6.231077994677203,1.210900071561107,Agence télécom,Togocom
Franchise Togocom Agoe Assiyeye,Agoe Assiyeye,Agoè-Nyivé,Maritime,6.230627236213058,1.1990666082427899,Agence télécom,Togocom
Franchise Togocom Agoe Nyiveme,Agoe Nyiveme,Agoè-Nyivé,Maritime,6.2209900074794575,1.2061866204763845,Agence télécom,Togocom
Franchise Togocom Agoe Plateau,Agoe Plateau,Agoè-Nyivé,Maritime,6.21647,1.1871283333333333,Agence télécom,Togocom
Agence Togocom Elavagno Kleve,Elavagno Kleve,Agoè-Nyivé,Maritime,6.2111736,1.1666036,Agence télécom,Togocom
Franchise Togocom Agoe Anokui,Anokui,Agoè-Nyivé,Maritime,6.242343333333334,1.1871983333333334,Agence télécom,Togocom
Agence Togocom Zossime,Zossime,Agoè-Nyivé,Maritime,6.233276083750482,1.149106424593853,Agence télécom,Togocom
Franchise Togocom Togblekope,Agoe Zongo,Agoè-Nyivé,Maritime,6.2575874100528965,1.2080261674107036,Agence télécom,Togocom
Franchise Togocom Adeticope,Adeticope Centre,Agoè-Nyivé,Maritime,6.3173511047052155,1.2177537159215872,Agence télécom,Togocom
Franchise Togocom Bewise,Logope ,Agoè-Nyivé,Maritime,6.241372703033745,1.1685836153911537,Agence télécom,Togocom
Franchise Togocom Legbassito,Legbassito,Agoè-Nyivé,Maritime,6.266943333333334,1.1549966666666667,Agence télécom,Togocom
Agence Moov Sagbado,Sagbado,Golfe,Maritime,6.1936800000000005,1.13712,Agence télécom,Moov
Agence Togocom Adigome,Adidogome,Golfe,Maritime,6.176719403333803,1.17849303184076,Agence télécom,Togocom
Boutique Togocom Sagbado,Sagbado,Golfe,Maritime,6.193598287324705,1.1398874950724767,Agence télécom,Togocom
Agence Togocom Madiba,Adidogome Madiba,Golfe,Maritime,6.19941,1.1496116666666665,Agence télécom,Togocom
Agence Togocom Totsi,Totsi,Golfe,Maritime,6.190435,1.19183,Agence télécom,Togocom
Agence Togocom Aflao Gakli,Aflao Gakli ,Golfe,Maritime,6.16972778352689,1.1997529975220893,Agence télécom,Togocom
Agence Moov Store Telessou,Telessou ,Agoè-Nyivé,Maritime,6.213509940345563,1.1745742061042703,Agence télécom,Moov
Agence Moov Adidoadin,Adidoadin,Golfe,Maritime,6.199214219034881,1.1883008398175776,Agence télécom,Moov
Agence Togocom Nukafu,Nukafu,Golfe,Maritime,6.1644454,1.2344596,Agence télécom,Togocom
Agence Togocom Place de L'Indépendance,Nyekonakpoe,Golfe,Maritime,6.129416666666667,1.2146216666666667,Agence télécom,Togocom
Franchise Togocom Sanguera,Sanguera,Agoè-Nyivé,Maritime,6.2320899999999995,1.1107266666666669,Agence télécom,Togocom
Agence Togocom Hedzranawoe,Hedzranawoe,Golfe,Maritime,6.1791599999999995,1.2401200000000001,Agence télécom,Togocom
Agence Togocom Aéroport,Aéroport ,Golfe,Maritime,6.170704783267905,1.253233822136575,Agence télécom,Togocom
Agence Moov Nukafu,Nukafu,Golfe,Maritime,6.170216280162648,1.2344614186634568,Agence télécom,Moov
Agence Moov Be Kpota,Kpota,Golfe,Maritime,6.157663333333333,1.2552833333333333,Agence télécom,Moov
Agence Togocom Ahadji Kpota,Ahadji Kpota,Golfe,Maritime,6.161972925390809,1.2843859759132503,Agence télécom,Togocom
Agence Moov Ocam,Ocam,Golfe,Maritime,6.130493333333334,1.24004,Agence télécom,Moov
Agence Moov Hanoukope,Hanoukope,Golfe,Maritime,6.135790653612904,1.219526636567681,Agence télécom,Moov
Agence Moov Teddycom Adakpame,Adakpame,Golfe,Maritime,6.159930000000001,1.2848016666666666,Agence télécom,Moov
Agence Togocom Propre Port,Port,Golfe,Maritime,6.14345,1.2760933333333333,Agence télécom,Togocom
Agence Togocom Mono,Mono,Golfe,Maritime,6.136723976258841,1.2617222599457436,Agence télécom,Togocom
Agence Moov Akodessewa,Akodessewa,Golfe,Maritime,6.149535176503007,1.2537440894895422,Agence télécom,Moov
Agence Togocom Store Djagble,Gatokope ,Zio,Maritime,6.265293428880892,1.2854432486294676,Agence télécom,Togocom
Agence Togocom Dongoyo,Dongoyo,Kozah,Kara,9.549365,1.186815,Agence télécom,Togocom
Agence Moov Adidogome,Adjidogome,Golfe,Maritime,6.185315000000001,1.1666133333333333,Agence télécom,Moov
Agence Moov Privilège,Privilège ,Golfe,Maritime,6.152183407357222,1.2407955937059894,Agence télécom,Moov
Moov Store Tsevie,Daviemondji,Zio,Maritime,6.410936666666667,1.2091516666666666,Agence télécom,Moov
Agence Togocom Bassar,Bassar,Bassar,Kara,9.25998,0.78035,Agence télécom,Togocom
Agence Moov Aeroport Lome,Aeroport Lome,Golfe,Maritime,6.170390811463834,1.2530180124498576,Agence télécom,Moov
Franchise Togocom Kante,Yotouw,Kéran,Kara,9.959168333333334,1.0493400000000002,Agence télécom,Togocom
Agence Togocom Kante,Mandouta,Kéran,Kara,9.955556666666666,1.0550416666666667,Agence télécom,Togocom
Agence Togocom Bafilo,Zogo,Assoli,Kara,9.35412840013568,1.243980329013687,Agence télécom,Togocom
Agence Togocom Guérin Kouka,Guerin Kouka Centre,Dankpen,Kara,9.687276666666666,0.6085550000000001,Agence télécom,Togocom
Agence Togocom Tsevie,Tsevie,Zio,Maritime,6.408834999999999,1.2079766666666667,Agence télécom,Togocom
Agence Moov Kara,Batassoukome,Kozah,Kara,9.546851666666667,1.1884416666666666,Agence télécom,Moov
Agence Moov Bassar,Bassar,Bassar,Kara,9.262368333333335,0.781485,Agence télécom,Moov
Agence Togocom Kabou Marche,Kabou Marche,Bassar,Kara,9.452944931014047,0.8122702048081362,Agence télécom,Togocom
Agence Togocom Quartier Latin,Quartier Latin,Avé,Maritime,6.43472,0.9252233333333333,Agence télécom,Togocom
Agence Togocom Niamtougou,Niamtougou,Doufelgou,Kara,9.765661666666666,1.1079416666666666,Agence télécom,Togocom
Franchise Togocom Kpetoume,Kpetoume,Avé,Maritime,6.449476733858452,0.914285339800625,Agence télécom,Togocom
Agence Togocom Tabligbo,Tabligbo,Yoto,Maritime,6.588522752291423,1.5003568420170923,Agence télécom,Togocom
Moov Store Djagble Centre,Djagble Centre,Zio,Maritime,6.253717219782764,1.282715644370347,Agence télécom,Moov
Franchise Togocom Agbelouve Ville ,Agbelouve Ville ,Zio,Maritime,6.675084999999999,1.1668566666666667,Agence télécom,Togocom
Agence Moov Kpetoume ,Kpetoume ,Avé,Maritime,6.448079479499792,0.9153915164331609,Agence télécom,Moov
Agence Togocom Awassi Onorio,Awassi Onorio,Bas-Mono,Maritime,6.49556,1.6287033333333332,Agence télécom,Togocom
Boutique Togocom Awassi Onorio,Awassi Onorio,Bas-Mono,Maritime,6.496435000000001,1.62298,Agence télécom,Togocom
Agence Togocom Wahala,Wahala,Haho,Plateaux,7.174345,1.1648266666666667,Agence télécom,Togocom
Agence Togocom Tohoun,Tohoun,Moyen-Mono,Plateaux,7.022291666666666,1.6099366666666668,Agence télécom,Togocom
Point de Vente Togocom Glei,Affaire Sociale ,Ogou,Plateaux,7.315633333333333,1.16454,Agence télécom,Togocom
Agence Togocom Djodjokondji,Djodjokondji,Kloto,Plateaux,6.900210361505778,0.6346387593291425,Agence télécom,Togocom
Agence Moov Atakpame Kondji,Atakpame Kondji,Kloto,Plateaux,6.912437527210687,0.6323238302268985,Agence télécom,Moov
Franchise Togocom Kpele Adeta,Kpele Adeta,Kpélé,Plateaux,7.131715000000001,0.7312616666666667,Agence télécom,Togocom
Moov Store de Kpele Adeta,Kpele Adeta ,Kpélé,Plateaux,7.132038333333332,0.7312633333333333,Agence télécom,Moov
Agence Tococom Anie,Anie,Anié,Plateaux,7.764953333333334,1.1928466666666668,Agence télécom,Autre
Agence Moov Anie,Anie,Anié,Plateaux,7.759781666666667,1.1934399999999998,Agence télécom,Moov
Agence Togocom Notse,Tegbe,Haho,Plateaux,6.964964238966572,1.1720865663441928,Agence télécom,Togocom
Agence Moov Notse,Tegbe,Haho,Plateaux,6.953371969046462,1.1710633871826346,Agence télécom,Moov
Agence Togocom Gadzepe,Gadzepe,Agou,Plateaux,6.846996147111316,0.716431603393936,Agence télécom,Togocom
Agence Togocom Dapaong,Napiegou ,Tône,Savanes,10.862998333333334,0.2034783333333333,Agence télécom,Togocom
Agence Togocom Cinkasse,Cinkasse ,Cinkassé,Savanes,11.087926289288212,0.0396640250646777,Agence télécom,Togocom
Franchise Moov Dapaong,"Dapaong, Quartier Natebagou",Tône,Savanes,10.876091666666666,0.2028833333333333,Agence télécom,Moov
Franchise Moov Cinkanssé,Cinkanssé ,Cinkassé,Savanes,11.097228333333332,0.020775,Agence télécom,Moov
Agence Togocom Gando,Gando ,Oti-Sud,Savanes,10.331795,0.7468683333333334,Agence télécom,Togocom
Agence Togocom Mango,Djabou ,Oti,Savanes,10.35530386025091,0.465361704808692,Agence télécom,Togocom
Lomé Data Center (LDC),GTA,Golfe,Maritime,6.192485913766419,1.2115164283178868,Data center,Data center
E-Gouv NOC,Nyekonakpoe,Golfe,Maritime,6.128697250477794,1.211050025340087,Data center,Data center
