region,prefecture,commune,canton,operateur,lat,lon
Savanes,Tône,Tône 4,Sanfatoute,"Moov, Togocom",10.996651666666667,0.3032083333333333
Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,"Moov, Togocom",10.717565088366083,0.3600592001272428
Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",10.878860000000001,0.231485
Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,"Moov, Togocom",10.717921666666665,0.36035
Maritime,Golfe,Golfe 1,Bè-Est,Nsp,6.171833333333333,1.2845533333333332
Savanes,Tône,Tône 1,Toaga,Togocom,10.885906666666665,0.2489566666666667
Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,"Moov, Togocom",10.718124249426852,0.3603193341104241
Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,Togocom,10.718348622033448,0.3601712447675913
Savanes,Tône,Tône 1,Toaga,Togocom,10.882063923216391,0.2392606758149832
Savanes,Cinkassé,Cinkassé 2,Nadjoundi,"Moov, Togocom",11.00668450253974,0.1864104159983782
Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Nayéga,"Moov, Togocom",10.751848333333331,0.4091616666666667
Savanes,Tône,Tône 1,Dapaong,Togocom,10.865521666666666,0.2020216666666666
Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",10.865516666666668,0.2020533333333333
Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",10.865371666666666,0.2017816666666667
Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",10.866153333333333,0.20137
Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",10.864476666666667,0.2026883333333333
Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",10.864457306134542,0.2026296669965144
Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",10.864713333333334,0.19946
Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",10.864866666666668,0.20313
Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",10.864973333333333,0.2032233333333333
Savanes,Cinkassé,Cinkassé 2,Nadjoundi,Moov,11.012449060371543,0.1919290572081031
Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",10.864121666666666,0.19793
Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",10.868651333587971,0.1995246969729944
Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",10.867818333333332,0.1999333333333334
Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",10.863693333333334,0.2044666666666667
Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",10.868625000000002,0.1994633333333334
Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",10.863111666666668,0.1943983333333333
Savanes,Tône,Tône 1,Dapaong,Togocom,10.863585,0.2040916666666667
Savanes,Tône,Tône 4,Korbongou,Moov,10.942331666666666,0.3696533333333333
