fid,canton,prefecture,region,lat,lon,superficie_km2,points_service,dist_service_km,dist_agence_km,classe_acces
cantons.A01001001,Agoè-Nyivé,Agoè-Nyivé,Maritime,6.230588720197286,1.1991605635782459,42.4,446,0.01,0.01,< 2 km
cantons.A01002002,Légbassito,Agoè-Nyivé,Maritime,6.271143733122361,1.154912081322809,25.4,37,0.46,0.46,< 2 km
cantons.A01003003,Vakpossito,Agoè-Nyivé,Maritime,6.219399249148114,1.1649254843104773,5.8,263,0.08,0.93,< 2 km
cantons.A01004004,Togblekope,Agoè-Nyivé,Maritime,6.2653107175370835,1.2154848305090202,34.4,258,0.02,1.19,< 2 km
cantons.A01005005,Sanguera,Agoè-Nyivé,Maritime,6.246166622350281,1.1215608741654381,30.9,97,1.07,1.97,< 2 km
cantons.A01006006,Adétikopé,Agoè-Nyivé,Maritime,6.317434674178429,1.2246925221539418,54.4,297,0.14,0.77,< 2 km
cantons.A02007007,Kévé,Avé,Maritime,6.469105722301519,0.9970715781698499,133.6,11,2.95,8.81,2 – 5 km
cantons.A02007008,Assahoun,Avé,Maritime,6.4832389266306665,0.921937463277468,81.7,43,2.3,3.83,2 – 5 km
cantons.A02007009,Tovégan,Avé,Maritime,6.59546121942315,0.9033659998655571,277.8,9,3.11,16.19,2 – 5 km
cantons.A02007010,Ando,Avé,Maritime,6.490560476824582,0.807728380165756,183.5,5,6.11,12.64,5 – 10 km
cantons.A02008012,Noépé,Avé,Maritime,6.289712304989018,1.0363997437598178,44.8,17,2.08,10.41,2 – 5 km
cantons.A06022038,Vogan,Vo,Maritime,6.335517130744577,1.5141902201028454,144.9,175,0.23,21.48,< 2 km
cantons.A02008013,Aképé,Avé,Maritime,6.24483017165883,1.073600498766292,39.8,22,0.37,4.34,< 2 km
cantons.A02008014,Badja,Avé,Maritime,6.391755670714355,1.0205536125170447,125.7,10,2.71,11.57,2 – 5 km
cantons.A03009015,Kpétsou,Bas-Mono,Maritime,6.544852279952064,1.5760644675318467,74.6,19,1.09,7.46,< 2 km
cantons.A03009016,Afagnan-Gbléta,Bas-Mono,Maritime,6.468063546291195,1.6097197226427709,79.3,42,2.26,3.46,2 – 5 km
cantons.A06022039,Vo-Koutimé,Vo,Maritime,6.361464562911246,1.5795192181211537,42.9,36,0.88,15.68,< 2 km
cantons.A06023040,Togoville,Vo,Maritime,6.254708190773842,1.4695947022188265,68.7,45,1.11,16.98,< 2 km
cantons.A06023041,Anyron-Kopé,Vo,Maritime,6.261917507656913,1.5457331303295885,27.4,7,0.36,24.74,< 2 km
cantons.A07026048,Tabligbo,Yoto,Maritime,6.5905666579586795,1.481619991453112,59.7,55,0.71,2.08,< 2 km
cantons.A03009017,Afagnangan,Bas-Mono,Maritime,6.524431670193736,1.6401209500544598,40.6,88,2.35,3.43,2 – 5 km
cantons.A03010018,Attitogon,Bas-Mono,Maritime,6.428354981409142,1.6597019301578384,89.7,23,0.68,8.18,< 2 km
cantons.A03010019,Hompou,Bas-Mono,Maritime,6.404620389983755,1.7003952446667907,50.9,1,3.43,12.81,2 – 5 km
cantons.A03010020,Agome-Glozou,Bas-Mono,Maritime,6.493634431594622,1.698129138145152,55.2,6,1.51,7.68,< 2 km
cantons.A03010021,Agbétiko,Bas-Mono,Maritime,6.457534622877759,1.7400642078141981,23.6,4,1.57,13.01,< 2 km
cantons.A06024042,Dagbati,Vo,Maritime,6.4859130750751675,1.4837713050336974,160.1,26,1.49,11.49,< 2 km
cantons.A06024043,Dzrékpo,Vo,Maritime,6.42966312892968,1.5598087750344187,43.6,58,0.66,10.17,< 2 km
cantons.C04075232,Goubi,Tchamba,Centrale,8.652707750831487,1.451910690457353,418.5,17,1.65,18.66,< 2 km
cantons.A04014025,Amoutivé,Golfe,Maritime,6.134431244959601,1.2137741289547002,13.6,809,0.04,0.56,< 2 km
cantons.A04015026,Aflao-Gakli,Golfe,Maritime,6.191448657161645,1.1790310840745735,19.4,1062,0.13,1.34,< 2 km
cantons.A04016027,Baguida,Golfe,Maritime,6.181945278597669,1.3352510298486695,37.3,482,0.11,1.64,< 2 km
cantons.A04017028,Aflao-Sagbado,Golfe,Maritime,6.192124737926822,1.1223190492181447,49.0,777,0.05,1.65,< 2 km
cantons.A06024044,Mome-Hounkpati,Vo,Maritime,6.517103582610269,1.532376350699025,36.7,16,2.11,8.66,2 – 5 km
cantons.A06025045,Sévagan,Vo,Maritime,6.308131542860123,1.420858204043773,60.9,15,0.83,15.72,< 2 km
cantons.A06025046,Hahotoé,Vo,Maritime,6.376461513176774,1.3990239309558028,46.0,55,1.65,17.58,< 2 km
cantons.A07026049,Amoussimé,Yoto,Maritime,6.638292677736784,1.5046128996730055,48.0,7,1.74,5.52,< 2 km
cantons.A05018029,Aného,Lacs,Maritime,6.235011922875194,1.5823997831382564,9.9,57,0.48,27.54,< 2 km
cantons.A05018030,Glidji,Lacs,Maritime,6.265434348919896,1.6022981856805776,32.0,32,0.8,25.61,< 2 km
cantons.A05018031,Canton D’Aneho,Lacs,Maritime,6.238604456938707,1.6182189726851284,4.9,83,0.05,28.44,< 2 km
cantons.A05019032,Aklakou,Lacs,Maritime,6.337528163079182,1.7436996618328011,110.7,28,2.39,21.61,2 – 5 km
cantons.A06025047,Akoumapé,Vo,Maritime,6.428243552225626,1.4306643515168744,115.1,43,3.39,19.33,2 – 5 km
cantons.A05019033,Agouégan,Lacs,Maritime,6.275806566884461,1.7054209058731389,42.4,12,1.48,25.74,< 2 km
cantons.A05021035,Anfoin,Lacs,Maritime,6.339489349497692,1.6106482828580067,16.2,47,0.41,17.37,< 2 km
cantons.A05021036,Fiata,Lacs,Maritime,6.324892128186038,1.6639137157002086,57.7,25,0.38,19.27,< 2 km
cantons.A05021037,Ganavé,Lacs,Maritime,6.298065778942684,1.6255320956425698,32.7,14,1.32,21.84,< 2 km
